caso;Hs;Tp;inc.;dir;S;gamma;alfa;rnd 
800;4.03;9.45;8.19;181.81;10;2.3782;6.55E-04;9570
801;3.77;10.94;1.54;188.46;21;2.2602;9.05E-04;1167
802;4.07;9.35;352.21;197.79;1;2.2444;8.57E-04;1517
803;5.44;12.45;261.95;288.05;15;2.4345;4.10E-03;2465
804;1.86;9.94;44.28;145.72;21;2.3735;4.25E-03;1878
805;5.55;10.02;342.39;207.61;9;2.3658;7.53E-04;589
806;1.62;11.67;30.17;159.83;4;2.5844;2.96E-03;5573
807;3.21;9.35;101.4;88.6;4;2.3766;7.42E-04;7827
808;1.61;12.93;316.73;233.27;13;2.4756;2.93E-03;8705
809;2.82;12.45;19.05;170.95;21;2.4548;3.44E-03;5451
810;5.64;9.84;36.95;153.05;12;2.3813;3.74E-03;8296
811;5.68;8.16;208.24;341.76;17;2.3027;1.17E-03;4896
812;2.02;10.24;258.8;291.2;2;2.5626;5.13E-03;9067
813;5.83;11.7;284.74;265.26;20;2.5079;9.36E-04;9990
814;3.9;9.09;237.94;312.06;5;2.4934;4.99E-03;2784
815;4.17;11.68;117.12;72.88;17;2.5665;6.30E-04;3735
816;3.25;9.89;350.84;199.16;10;2.5665;5.06E-03;2835
817;2.33;9.67;127.97;62.03;4;2.4329;4.07E-03;2563
818;3.5;9.49;280.61;269.39;23;2.4148;4.22E-03;30
819;2.35;12.61;355.96;194.04;19;2.5965;3.99E-03;1839
820;2.47;9.96;216.28;333.72;18;2.5097;6.90E-03;8464
821;3.17;11.59;209.06;340.94;8;2.3055;1.84E-03;3124
822;5.38;10.28;304.17;245.83;4;2.3373;5.12E-04;4976
823;2.16;12.78;36.55;153.45;23;2.2873;7.48E-04;3484
824;3.05;12.82;264.04;285.96;17;2.6275;5.37E-03;5228
825;2.23;12.27;3.7;186.3;1;2.5744;1.79E-03;6914
826;4.68;11.69;220.72;329.28;23;2.3986;1.08E-03;467
827;5.12;12.88;103.03;86.97;21;2.5042;1.79E-03;9854
828;2.9;9.27;312.07;237.93;12;2.418;1.25E-03;7255
829;3.61;12.36;28.28;161.72;13;2.6129;1.88E-03;6968
830;2.57;9.3;263.46;286.54;17;2.247;1.36E-03;9571
831;3.83;11.08;143.23;46.77;8;2.2723;2.72E-03;5880
832;2.25;8.7;352.72;197.28;2;2.3704;1.41E-03;4982
833;1.96;12.46;43.53;146.47;4;2.3256;1.01E-03;1833
834;3.31;9.57;44.87;145.13;2;2.2629;2.96E-03;5548
835;4.55;8.22;285.81;264.19;7;2.6149;5.92E-03;8916
836;3.83;9.6;319.38;230.62;13;2.2998;2.89E-03;3034
837;2.31;9.99;149;41;3;2.5115;4.16E-03;7638
838;4.56;11.71;59.26;130.74;20;2.2615;3.96E-04;1526
839;4.71;8.29;340.76;209.24;15;2.2392;1.71E-03;6241
840;3.43;8.21;157.2;32.8;24;2.488;5.20E-03;5696
841;1.88;12.35;218.88;331.12;23;2.2669;9.79E-04;1659
842;4.67;11.21;341.7;208.3;4;2.3299;3.92E-04;2169
843;2.78;8.94;103.37;86.63;20;2.5705;2.14E-03;6333
844;1.94;10.12;174.18;15.82;19;2.3387;7.95E-04;3385
845;4.99;11.17;106.41;83.59;23;2.2483;2.85E-03;2851
846;2.42;12.92;272.81;277.19;15;2.6275;4.86E-03;2391
847;2.52;12.18;225.6;324.4;17;2.3329;3.68E-03;6729
848;4;9.48;245.62;304.38;17;2.2496;1.27E-03;123
849;5.06;9.84;338.91;211.09;11;2.5097;2.53E-03;6303
850;4.96;12.06;68.44;121.56;17;2.4396;5.43E-03;5562
