feature,importance
Média_1,0.00041256412218407376
Mediana_1,0.0
ValorPico_1,9.604437521820634e-06
RMS_1,4.605110403703884e-06
Kurtosis_1,6.107760834082814e-05
Skewness_1,0.00039989290665984144
DesvioPadrão_1,6.004359554792875e-06
Amplitude_1,8.811661291171142e-06
Energia_1,6.506422276370059e-06
Percentil25_1,0.00012722487011240867
Percentil75_1,0.00011152293328690859
Média_2,2.3842568788823996e-05
Mediana_2,0.0
ValorPico_2,0.0009920157988263542
RMS_2,7.75525027752488e-06
Kurtosis_2,3.144946628893936e-05
Skewness_2,3.8282051642057076e-05
DesvioPadrão_2,7.4687631418257356e-06
Amplitude_2,1.0255102071085692e-05
Energia_2,5.172482166946047e-06
Percentil25_2,0.00013762769458486822
Percentil75_2,6.064917225214425e-06
Média_3,3.744713201440483e-05
Mediana_3,4.6366231230538083e-10
ValorPico_3,0.0007428514822026954
RMS_3,5.5241991151924025e-06
Kurtosis_3,7.202942220965222e-05
Skewness_3,9.410554519230022e-05
DesvioPadrão_3,4.965469516973013e-06
Amplitude_3,6.152622695714845e-06
Energia_3,4.566135519760495e-06
Percentil25_3,5.005350130989457e-09
Percentil75_3,0.0003280896105023796
Média_4,1.58537024629857e-05
Mediana_4,7.881542837977908e-06
ValorPico_4,3.9470768810326145e-05
RMS_4,1.3709535993437468e-05
Kurtosis_4,4.703226162302231e-05
Skewness_4,5.547046836615635e-05
DesvioPadrão_4,1.1415682687368738e-05
Amplitude_4,1.886040745391044e-05
Energia_4,1.3216299736094043e-05
Percentil25_4,0.0
Percentil75_4,0.0001431814127809302
Média_5,7.664369628890961e-06
Mediana_5,8.385666179180825e-07
ValorPico_5,1.2358270413446452e-05
RMS_5,6.109017775202046e-06
Kurtosis_5,2.2811361439255518e-05
Skewness_5,2.6117882049443377e-05
DesvioPadrão_5,6.386565301537397e-06
Amplitude_5,1.3466463772305879e-05
Energia_5,5.146305898125127e-06
Percentil25_5,0.0
Percentil75_5,7.953505900775199e-05
Média_6,5.683857696365944e-06
Mediana_6,2.1775630262696975e-06
ValorPico_6,5.656228267969024e-06
RMS_6,3.993608619465324e-06
Kurtosis_6,2.711510267942474e-05
Skewness_6,3.1439525100213374e-05
DesvioPadrão_6,5.184925546175981e-06
Amplitude_6,6.781235811279923e-06
Energia_6,6.6026544051047195e-06
Percentil25_6,0.0
Percentil75_6,5.868176732286828e-05
Média_7,0.006568760197868011
Mediana_7,0.0
ValorPico_7,0.00032699170892425773
RMS_7,5.379512026609629e-06
Kurtosis_7,5.4322345471196795e-05
Skewness_7,0.0013368259235581495
DesvioPadrão_7,5.030315675177174e-06
Amplitude_7,5.079297421156584e-06
Energia_7,4.8349453685026915e-06
Percentil25_7,0.00013354683427738064
Percentil75_7,0.00011868514207612003
Média_8,0.00012464257459499512
Mediana_8,0.0
ValorPico_8,0.00023761363424401076
RMS_8,7.4214653289602775e-06
Kurtosis_8,4.646369508903271e-05
Skewness_8,0.00014707249738844544
DesvioPadrão_8,7.019508592343225e-06
Amplitude_8,8.11191768889736e-06
Energia_8,7.0317520796692285e-06
Percentil25_8,6.115620895818865e-05
Percentil75_8,5.379817093648418e-05
Média_9,0.0007620996505055625
Mediana_9,0.0
ValorPico_9,0.0003773188746536171
RMS_9,5.428803934138423e-06
Kurtosis_9,6.780606639280004e-05
Skewness_9,0.00011156872555624653
DesvioPadrão_9,7.260385930460781e-06
Amplitude_9,6.119357758014082e-06
Energia_9,6.180541182064799e-06
Percentil25_9,1.7483397098627454e-05
Percentil75_9,0.00023868726947626207
Média_X,0.003720517141325488
Mediana_X,0.005754391378494343
Valor_de_Pico_X,3.7799406958781115e-05
RMS_X,0.00044627564185117854
Curtose_X,5.1229290249153576e-05
Assimetria_X,5.0438211582005606e-05
Desvio_Padrão_X,6.55365272079057e-05
Amplitude_X,6.376282700330445e-05
Energia_X,0.0004573111811211429
Percentil_25_X,0.0007209009547487624
Percentil_75_X,0.0008132493210797123
Média_Y,0.06819817737491185
Mediana_Y,0.009517542985540034
Valor_de_Pico_Y,2.931919271635312e-05
RMS_Y,0.0028809591119742578
Curtose_Y,4.950070444070254e-05
Assimetria_Y,5.340804749047759e-05
Desvio_Padrão_Y,2.1017159639188122e-05
Amplitude_Y,2.3622172762376045e-05
Energia_Y,0.0033953681260316232
Percentil_25_Y,0.00011777335341877046
Percentil_75_Y,8.358789132745608e-05
Média_Z,0.00010277404678471281
Mediana_Z,6.027736480469777e-05
Valor_de_Pico_Z,1.1720379676345191e-05
RMS_Z,0.00019143563868429195
Curtose_Z,5.162376836775647e-05
Assimetria_Z,5.6978301533014834e-05
Desvio_Padrão_Z,7.128886623064597e-06
Amplitude_Z,1.3179348579093106e-05
Energia_Z,0.00017856167406048504
Percentil_25_Z,2.139614211330644e-05
Percentil_75_Z,6.870643107464799e-06
Média_X-X,0.22091996351026158
Mediana_X-X,0.3148083173420616
Valor_de_Pico_X-X,9.845966837079708e-05
RMS_X-X,0.0005033698196168435
Curtose_X-X,5.72009102064333e-05
Assimetria_X-X,6.672563901834479e-05
Desvio_Padrão_X-X,9.871227909581678e-05
Amplitude_X-X,8.430058601622178e-05
Energia_X-X,0.0004317145608730361
Percentil_25_X-X,0.0006692582456995104
Percentil_75_X-X,0.00016407463053869602
Média_Y-Y,0.1140999923606684
Mediana_Y-Y,0.00012854041136426997
Valor_de_Pico_Y-Y,9.144621761192302e-06
RMS_Y-Y,3.493770591708485e-05
Curtose_Y-Y,8.964626084089137e-05
Assimetria_Y-Y,4.836340539220321e-05
Desvio_Padrão_Y-Y,7.263652318749528e-06
Amplitude_Y-Y,6.878496053662881e-06
Energia_Y-Y,3.62006416534489e-05
Percentil_25_Y-Y,2.470640117702092e-05
Percentil_75_Y-Y,6.1257442116299655e-06
Média_Z-Z,0.08401626590347924
Mediana_Z-Z,0.04887485213021113
Valor_de_Pico_Z-Z,6.898328527400367e-05
RMS_Z-Z,0.05419792490963269
Curtose_Z-Z,5.7740656274794877e-05
Assimetria_Z-Z,5.28458525227905e-05
Desvio_Padrão_Z-Z,2.1802874631081236e-05
Amplitude_Z-Z,3.231304280224432e-05
Energia_Z-Z,0.04649243382350941
Percentil_25_Z-Z,0.00016125043101833766
Percentil_75_Z-Z,0.0011129872535040886
